	SRR12626034	SRR12626035	SRR12626036	SRR12626040	SRR12626041	SRR12626042
ORMDL3	93	86	55	113	80	111
OS9	217	218	159	258	171	182
OSBP	1342	1197	1120	1437	948	1201
OSBP2	82	99	69	42	31	60
OSBPL10	64	43	38	90	54	84
OSBPL11	705	642	498	1018	598	661
OSBPL1A	4177	4155	3375	5711	2974	4155
OSBPL2	391	397	348	522	266	352
OSBPL3	593	419	394	859	387	582
OSBPL6	134	142	146	285	95	156
OSBPL8	19099	14096	13168	16075	6578	14226
OSBPL9	2629	2460	2228	3199	1799	2484
OSCP1	1483	1403	1226	1725	1062	1532
OSER1	2165	2331	1901	2806	1603	2282
OSER1-AS1	238	334	253	279	149	165
OSGEP	414	463	342	555	377	407
OSGEPL1	1038	1078	1097	1193	842	1297
OSGIN2	539	620	444	958	429	650
OSMR	15	52	27	177	106	101
OST4	3021	3645	2942	4573	3023	3206
OSTC	6012	6043	5703	9957	5511	6880
OSTF1	151	139	140	284	106	182
OSTM1	630	509	542	810	443	641
OTUB1	906	848	537	1125	729	956
OTUD1	123	136	115	117	62	122
OTUD3	527	815	735	657	485	589
OTUD4	1498	1604	1498	1981	994	1628
OTUD5	95	98	76	117	60	97
OTUD6B	2268	1958	2005	4548	1826	3011
OTUD6B-AS1	4697	4360	4071	5922	2640	4391
OTUD7B	124	115	93	205	113	176
OTULIN	354	429	274	477	300	433
OTX2	5594	5735	4549	4327	2807	4498
OTX2-AS1	3609	3145	3170	1748	1106	2153
OVGP1	108	105	87	114	80	54
OXA1L	2921	3035	2561	3775	2246	2840
OXCT1	1308	1469	1210	4006	2067	2458
OXNAD1	232	190	136	211	129	205
OXR1	4099	3643	3531	4640	1938	3149
OXSM	380	375	389	489	269	440
OXSR1	1182	1160	1023	2189	1230	1374
OXTR	25	36	23	375	151	148
P2RX4	131	159	101	192	94	155
P2RY12	73	42	56	57	28	40
P2RY13	136	89	75	77	44	53
P2RY14	533	372	395	391	119	254
P3H1	62	63	40	106	47	70
P3H2	52	37	48	110	67	86
P3H4	149	216	146	212	127	167
P4HA1	11854	16047	14068	14013	6869	12621
P4HA2	1394	2065	1761	3556	1803	2240
P4HA2-AS1	44	81	61	168	84	104
P4HB	274	350	254	402	242	370
P4HTM	121	128	97	98	72	80
PA2G4	1033	976	830	1806	1229	1385
PA2G4P4	69	45	60	55	30	46
PAAF1	1751	1783	1643	2342	1382	1895
PABPC1	6964	8597	6964	10565	5530	8169
PABPC4	582	606	469	746	411	516
PABPC4L	180	169	203	174	98	168
PABPC5	279	296	219	642	268	401
PACRG	994	1023	919	650	382	621
PACRGL	164	195	132	272	105	182
PACS1	47	35	48	66	45	30
PACS2	31	51	37	89	56	48
PACSIN2	67	55	63	77	47	62
PAF1	50	56	46	76	51	49
PAFAH1B1	3505	2990	3019	4682	2831	3174
PAFAH1B2	13741	12134	11556	23013	12458	14889
PAFAH1B3	58	48	28	70	27	43
PAFAH2	271	239	194	329	224	237
PAG1	1822	1782	1513	1638	740	1317
PAGR1	125	116	105	129	70	109
PAICS	5052	6425	5799	8961	5199	6747
PAIP1	852	777	749	1352	786	956
PAIP2	6370	6193	5406	7714	4401	6194
PAIP2B	866	973	851	651	322	543
PAK1	830	760	710	1172	685	789
PAK1IP1	2959	2183	2490	4826	2644	3504
PAK2	2385	2314	1978	4459	2371	3055
PAK3	197	185	155	327	208	179
PAK7	682	455	452	390	217	370
PALB2	328	357	259	397	324	333
PALD1	42	33	34	54	34	27
PALLD	4241	4396	3534	14387	7529	8502
PALM2	19	13	11	72	34	45
PALMD	7653	7131	6952	5977	3333	5365
PAM	3738	3578	3237	5695	3249	4202
PAN2	890	1110	973	861	556	871
PAN3	5028	4338	4155	5910	2765	4137
PAN3-AS1	28	36	39	37	22	26
PANDAR	47	31	54	58	39	59
PANK1	2251	2901	2231	2473	1332	2576
PANK2	186	207	190	254	154	169
PANK3	474	602	526	625	315	503
PANX1	156	109	152	336	190	186
PAPD4	2000	1793	1425	2427	1081	1807
PAPD5	2994	2683	2452	5804	2636	3700
PAPD7	69	117	77	117	88	85
PAPLN	61	31	31	56	28	42
PAPOLA	9205	8587	7888	9971	4281	7829
PAPOLG	2313	2109	2161	2769	1627	2162
PAPPA	130	143	96	167	83	66
PAPSS1	4542	3934	4083	7007	4164	4868
PAPSS2	156	121	146	301	96	158
PAQR3	1573	1799	1462	2259	946	1711
PAQR5	524	420	426	343	206	354
PAQR7	33	45	29	53	25	28
PAQR8	191	104	127	145	92	170
PARD3	552	610	528	918	576	665
PARD3B	1127	1038	900	976	540	820
PARD6B	8839	6835	7228	7405	4602	6569
PARD6G	129	139	129	314	175	178
PARG	543	628	472	919	550	624
PARGP1	35	43	39	42	17	41
PARK2	88	61	61	43	36	62
PARK7	5369	5522	4514	7919	5387	5953
PARL	237	289	266	356	263	286
PARM1	2634	2348	2427	2199	1345	1832
PARP1	854	948	795	1535	880	1036
PARP11	1264	1437	1103	1524	860	1309
PARP12	59	31	32	55	23	37
PARP14	1235	1151	863	1457	755	1097
PARP16	72	132	125	117	39	75
PARP2	998	1341	1155	1401	819	1112
PARP4	2349	2293	2172	3636	2192	3088
PARP6	629	634	577	921	569	725
PARP8	615	483	502	943	339	612
PARP9	262	270	269	454	202	264
PARPBP	8657	9377	6438	20286	8359	14200
PARS2	273	234	149	220	142	230
PART1	27	31	51	30	9	26
PARVA	448	511	345	993	589	709
PARVB	48	69	42	27	29	21
PASK	75	52	56	54	40	43
PATL1	251	246	240	301	194	326
PATZ1	279	278	201	321	204	262
PAWR	369	379	349	964	385	651
PAX6	973	714	631	1535	634	839
PAXBP1	5999	6591	5750	6312	2296	4811
PAXBP1-AS1	199	145	145	166	82	109
PAXIP1	227	254	158	378	200	205
PAXIP1-AS1	89	107	107	96	39	62
PBDC1	1274	1020	1071	1931	1037	1309
PBK	213	160	115	287	142	131
PBLD	284	233	228	387	188	270
PBRM1	1518	1501	1351	2241	1156	1538
PBX1	1153	1006	970	1036	649	752
PBX3	78	49	50	151	46	63
PBXIP1	191	140	161	222	113	128
PCAT1	74	31	29	37	15	37
PCAT2	66	38	52	81	25	56
PCAT6	32	69	38	44	22	35
PCBD1	125	134	112	139	95	123
PCBD2	425	387	382	356	238	287
PCBP1	673	689	585	1097	575	863
PCBP1-AS1	185	172	174	157	111	128
PCBP2	1299	1365	1172	1370	823	1048
PCBP4	39	43	45	31	19	34
PCCA	428	481	420	535	347	431
PCCA-AS1	39	28	31	61	17	31
PCCB	711	760	593	860	638	713
PCDH10	91	87	91	172	82	77
PCDH11X	440	495	462	577	301	469
PCDH11Y	180	166	147	421	132	319
PCDH15	100	58	53	71	32	37
PCDH17	2054	2030	1929	2922	1773	2581
PCDH18	2505	3082	2861	3954	2364	3198
PCDH19	206	183	242	459	321	280
PCDH7	1305	1242	1242	3211	1531	2003
PCDH9	289	255	262	584	285	265
PCDHA11	50	38	28	57	23	39
PCDHA9	48	69	63	86	34	44
PCDHAC1	23	25	19	74	31	61
PCDHAC2	104	103	79	176	123	114
PCDHB16	54	49	36	69	42	45
PCDHB2	72	60	75	122	103	95
PCDHGA8	115	119	107	202	67	144
PCED1A	69	45	50	88	38	53
PCF11	2315	1929	2006	2571	1307	1990
PCGF1	233	315	249	315	190	304
PCGF3	361	307	234	408	213	299
PCGF5	2464	2363	1773	3405	1057	2786
PCGF6	104	85	83	146	57	91
PCID2	1955	1781	1771	2642	1396	1896
PCIF1	80	113	67	127	63	88
PCLO	915	707	593	997	321	534
PCM1	8084	6450	4883	8955	2892	6720
PCMT1	3907	3623	3102	5238	3206	3747
PCMTD1	1337	1187	953	1468	581	1031
PCMTD2	996	801	814	1312	703	975
PCNA	2257	2237	2277	3021	1785	2316
PCNP	14397	14439	13680	19403	10350	15333
PCNT	269	275	247	257	173	228
PCNX	2692	2254	2184	3880	1852	2738
PCNXL2	322	299	250	661	360	525
PCNXL4	3264	3041	3013	3524	1813	2777
PCOLCE2	64	62	53	132	56	100
PCP4	12173	12462	10705	11994	6691	8931
PCSK1	20	25	17	75	42	38
PCSK2	71	58	37	54	28	39
PCSK5	356	321	282	655	351	351
PCSK6	200	172	171	298	154	330
PCSK7	95	96	51	291	152	163
PCYOX1	4443	4439	3628	4398	2544	3814
PCYOX1L	114	144	132	141	92	109
PCYT1A	71	74	46	153	77	104
PCYT1B	143	125	111	70	74	70
PDAP1	109	101	77	138	107	136
PDCD10	3326	3128	2893	5400	2945	3729
PDCD11	166	181	163	340	202	219
PDCD2	278	232	212	286	181	264
PDCD2L	46	38	27	54	36	46
PDCD4	2060	2068	1750	1993	1073	1857
PDCD5	526	422	334	774	453	514
PDCD6	192	208	164	293	141	195
PDCD6IP	1890	1633	1637	2507	1317	1889
PDCD7	1019	1010	954	1144	727	1005
PDCL	1647	1589	1419	2395	1342	1833
PDCL3	674	485	510	1165	718	708
PDCL3P4	71	51	43	51	43	21
PDDC1	43	41	26	57	34	52
PDE10A	110	168	145	396	159	152
PDE11A	2618	3170	2542	2330	1122	3045
PDE12	241	192	161	366	192	254
PDE1A	284	264	245	540	329	299
PDE1C	402	406	382	476	238	396
PDE3B	79	46	46	97	38	106
PDE4B	779	816	695	1650	980	1073
PDE4D	592	647	592	1269	539	657
PDE4DIP	1127	1050	1012	916	587	913
PDE5A	845	807	707	1137	427	981
PDE6B	151	189	124	106	79	104
PDE6D	45	59	52	109	67	42
PDE7A	1326	1189	968	1432	677	1191
PDE8A	737	720	611	523	249	434
PDE8B	282	268	302	370	142	267
PDE9A	53	74	36	88	37	31
PDGFC	2435	2251	2046	4918	2380	3191
PDGFD	232	147	172	149	97	200
PDGFRA	2988	2195	2385	2420	1520	2412
PDGFRB	233	247	189	232	164	183
PDHA1	3533	3322	2861	3889	2658	2934
PDHB	7220	6541	6019	9504	5637	7083
PDHX	2463	2379	2013	2685	1575	2141
PDIA3	363	405	331	518	253	326
PDIA3P1	50	31	41	52	28	28
PDIA4	243	255	182	400	199	201
PDIA5	59	75	37	90	44	32
PDIA6	3796	4481	3527	7022	4087	4867
PDIK1L	2097	1710	1724	2020	1017	1516
PDK1	2160	3140	2717	3664	1521	2939
PDK2	74	54	39	68	61	56
PDK3	1364	1751	1598	2255	1189	2118
PDK4	204	107	111	106	46	81
PDLIM1	64	75	72	337	168	121
PDLIM3	571	533	443	1221	767	907
PDLIM5	36342	32837	32059	53829	30404	40439
PDLIM7	60	73	54	148	93	117
PDP1	6207	5118	4581	14887	8167	9589
PDP2	359	432	409	418	283	426
PDPK1	352	310	230	339	246	325
PDPN	539	484	453	595	371	484
PDPR	278	348	234	241	150	202
PDRG1	1236	1141	908	1424	953	1163
PDS5A	3451	2971	2723	4430	1854	3277
PDS5B	7455	6212	5781	7681	2923	6233
PDSS1	33	30	43	59	47	52
PDSS2	604	565	401	687	416	516
PDXDC1	60	44	39	61	20	22
PDXDC2P	316	351	275	324	165	267
PDXK	220	228	183	381	223	273
PDXP	59	76	45	98	71	55
PDZD11	2356	2197	1876	2884	1786	1811
PDZD2	217	219	204	255	120	114
PDZD8	3470	3265	3045	5921	2830	4176
PDZRN3	271	220	224	271	143	237
PDZRN3-AS1	490	350	401	190	92	134
PDZRN4	2100	1706	1629	1383	790	1094
PEA15	687	658	559	1050	677	689
PEAK1	1233	1175	1068	1636	844	1124
PEBP1	1256	1213	1007	1477	923	1150
PECR	182	191	194	128	74	145
PEF1	360	389	289	520	388	428
PEG10	4779	5012	4483	10090	6011	6001
PELI1	626	574	530	944	501	627
PELI2	1126	1094	833	1961	882	1363
PELO	263	303	170	389	261	320
PELP1	19	39	25	34	34	28
PEPD	91	79	61	129	97	96
PER1	17	51	27	36	10	26
PER2	133	148	115	233	111	150
PER3	521	443	288	430	127	213
PERP	304	316	221	359	247	301
PES1	66	62	55	108	55	67
PET100	1322	1446	1074	1715	1151	1150
PET117	40	36	25	48	27	51
PEX1	1097	1141	1018	1068	507	922
PEX11A	801	684	592	462	279	477
PEX11B	1246	1210	939	1506	885	1100
PEX12	527	491	440	590	351	429
PEX13	403	324	313	498	278	339
PEX19	4138	4449	4134	5627	3642	4502
PEX2	4654	4214	4346	5298	3347	4423
PEX3	2621	2096	2257	2854	1511	2281
PEX5	248	174	188	251	141	147
PEX5L	84	83	40	105	32	78
PEX6	34	49	22	42	20	30
PEX7	47	54	52	44	33	47
PFAS	71	48	61	139	52	47
PFDN1	3484	3144	2926	6670	3749	4291
PFDN2	219	229	199	385	232	246
PFDN4	1993	1868	1746	3059	1603	2088
PFDN5	8482	8772	8140	8746	5382	6932
PFKFB2	1481	1350	1374	1657	1114	1549
PFKFB3	38	82	68	173	83	123
PFKFB4	92	179	100	177	94	140
PFKM	2196	2524	2153	2052	1415	1750
PFKP	831	1130	752	1346	684	931
PFN1	268	254	215	656	385	429
PFN2	14759	14017	12257	16278	9583	11015
PFN4	90	61	49	64	22	39
PGAM1	212	192	142	280	166	181
PGAM5	110	101	97	174	101	116
PGAP1	6090	5509	4085	5509	1963	4813
PGAP2	263	311	192	275	123	230
PGAP3	56	50	36	55	40	46
PGBD1	339	373	240	593	291	385
PGBD2	165	142	123	281	129	162
PGBD4	241	243	284	267	181	296
PGD	3565	3677	2930	6339	3942	4659
PGGT1B	1691	1380	1541	2504	955	1603
PGK1	16125	23826	19799	32372	17150	26797
PGM1	564	648	543	675	376	593
PGM2	658	586	507	755	505	602
PGM2L1	3007	3369	2961	8989	3712	4869
PGM3	9194	10056	9230	14486	7251	10625
PGM5	104	158	118	57	67	81
PGM5-AS1	41	39	44	34	9	13
PGM5P2	73	52	21	75	32	40
PGM5P3-AS1	111	80	32	32	12	25
PGM5P4-AS1	211	221	141	176	144	202
PGPEP1	225	255	203	403	207	329
PGRMC1	823	770	694	1168	745	655
PGRMC2	1046	972	918	1253	749	968
PGS1	58	32	28	55	16	35
PHACTR2	19855	14184	14261	21257	10552	15556
PHACTR4	1133	1209	1095	2149	1481	1984
PHAX	3170	2973	2866	5102	2916	3393
PHB	631	575	465	1003	591	669
PHB2	398	443	322	540	301	323
PHC1	143	143	142	193	96	149
PHC2	222	286	192	361	239	298
PHC3	3391	3454	3176	4499	1805	3614
PHEX	69	58	36	84	60	57
PHF10	195	204	164	268	133	231
PHF11	96	93	92	112	59	61
PHF12	116	109	80	169	99	127
PHF13	79	56	46	64	52	62
PHF14	2435	2025	1806	3663	1712	2296
PHF2	51	48	47	80	32	45
PHF20	1618	1418	1259	2350	1374	1804
PHF20L1	2874	2067	1978	3787	1600	2478
PHF21A	238	247	168	281	174	190
PHF23	149	162	94	245	141	154
PHF3	4245	3922	3295	5240	1963	4198
PHF5A	42	46	43	57	44	54
PHF6	5596	5360	5299	7566	5089	7380
PHF8	268	231	228	214	156	192
PHGDH	152	128	80	165	90	126
PHIP	8603	6920	4816	10802	3644	6942
PHKA1	491	437	437	400	195	365
PHKA2	84	125	96	88	65	82
PHKB	5323	4644	4345	5307	3102	4177
PHKG2	114	121	65	117	105	128
PHLDA1	1149	1138	952	3459	1945	2090
PHLDA3	39	37	21	124	74	65
PHLDB1	113	108	66	188	129	118
PHLDB2	206	296	186	2983	1089	743
PHLPP1	88	78	38	113	69	76
PHLPP2	543	486	414	529	266	404
PHOSPHO2	95	117	101	107	51	80
PHPT1	1932	1683	975	2441	1333	1698
PHTF1	1053	963	978	925	635	810
PHTF2	2672	2610	2402	3093	1504	2615
PHYH	868	1032	884	891	598	887
PHYHD1	109	90	79	93	52	66
PHYHIPL	354	282	216	177	102	163
PHYKPL	178	193	130	160	103	145
PI15	305	239	407	382	108	169
PI4K2A	274	306	229	371	272	298
PI4K2B	583	562	568	422	225	317
PI4KA	138	119	85	94	54	111
PI4KB	111	98	85	161	91	112
PIANP	89	106	92	127	77	86
PIAS1	3885	4031	3727	4791	2780	3681
PIAS2	2477	2594	2101	3076	1035	2330
PIAS3	191	177	151	204	143	186
PIBF1	2718	2083	2004	3079	1472	2619
PICALM	1763	1661	1528	3658	1756	2333
PID1	98	87	81	71	39	86
PIEZO2	18	35	28	89	32	25
PIFO	11705	10835	9531	8289	5640	8567
PIGA	1342	1523	1552	1909	947	1600
PIGB	328	271	315	464	274	396
PIGBOS1	296	283	271	345	238	265
PIGC	658	567	567	838	504	593
PIGF	897	852	841	1096	680	870
PIGG	166	159	114	225	138	169
PIGH	304	335	218	383	224	231
PIGK	3596	3396	3380	5106	2595	3910
PIGL	414	439	419	521	223	410
PIGM	1031	809	754	1299	682	888
PIGN	1943	2056	1903	2473	1458	2087
PIGO	145	133	93	158	118	172
PIGP	538	459	477	516	276	409
PIGS	493	537	374	540	373	519
PIGT	799	779	402	928	529	699
PIGU	194	183	135	238	191	176
PIGV	290	249	270	313	159	229
PIGX	490	435	387	546	358	387
PIH1D1	185	164	87	183	104	166
PIH1D2	541	425	368	467	295	487
PIH1D3	210	141	142	93	76	138
PIK3AP1	91	95	57	68	32	56
PIK3C2A	12663	13095	9431	14629	4619	12648
PIK3C2B	54	39	27	62	28	27
PIK3C3	5759	5150	5130	5643	2977	4550
PIK3CA	516	438	341	655	262	390
PIK3CB	975	708	799	995	559	709
PIK3CD	33	50	26	112	58	51
PIK3IP1	43	52	21	55	35	42
PIK3R1	393	425	353	548	273	326
PIK3R2	116	129	79	104	68	90
PIK3R3	400	378	325	651	526	406
PIK3R4	659	639	699	755	476	590
PIKFYVE	2686	2689	2208	3232	1446	2551
PIM1	37	39	38	84	59	56
PIM2	147	178	123	124	112	156
PIN4	832	913	851	1298	789	955
PIN4P1	60	50	49	83	39	69
PINK1-AS	33	49	35	51	35	40
PINX1	27	32	27	61	39	39
PIP4K2A	830	770	635	2755	1684	1571
PIP4K2C	355	351	273	504	270	400
PIP5K1A	643	830	693	953	635	701
PIP5K1B	3049	2295	2350	4156	1922	3510
PIP5K1C	46	35	29	46	38	29
PIPOX	187	230	127	418	251	366
PIR	211	201	224	197	128	125
PISD	1153	1057	643	1715	863	1111
PITHD1	131	124	104	160	84	127
PITPNA	1206	1058	1108	1267	901	918
PITPNB	3840	3211	3094	5853	3383	4160
PITPNC1	262	284	278	317	147	219
PITPNM3	44	46	40	19	18	21
PITRM1	826	714	522	1085	713	840
PITRM1-AS1	25	49	15	24	5	19
PIWIL2	62	58	45	55	33	39
PJA1	664	656	650	747	454	559
PJA2	26056	25451	23712	33024	15052	22413
PKD1L2	61	98	59	111	49	75
PKD2	973	793	785	1495	613	964
PKI55	174	144	155	215	121	162
PKIA	763	687	793	811	491	555
PKIA-AS1	144	85	60	121	41	103
PKIB	1413	1375	1255	1898	958	1463
PKIG	101	108	64	154	83	81
PKM	19744	21596	13621	27118	17758	24542
PKN1	61	40	28	69	42	40
PKN2	3154	2905	2549	4900	2017	3454
PKNOX1	309	285	215	367	188	286
PKNOX2	217	186	170	261	143	193
PKP2	174	104	151	279	157	192
PKP4	2440	2066	2019	2365	1237	1995
PLA1A	119	244	224	227	121	224
PLA2G12A	1106	1131	966	1227	650	1151
PLA2G15	56	63	31	76	50	61
PLA2G16	515	487	423	497	344	485
PLA2G4A	394	255	285	183	104	139
PLA2G4C	30	55	37	115	50	47
PLAA	504	415	470	786	380	500
PLAG1	2771	2974	2270	2653	1043	1909
PLAGL1	510	417	389	489	255	346
PLAGL2	606	584	480	734	458	500
PLAU	74	72	53	737	385	246
PLAUR	28	42	26	497	213	182
PLBD1	50	63	65	11	18	27
PLCB1	885	709	689	1000	394	664
PLCB4	3595	3562	3140	4794	1907	3869
PLCD3	40	64	40	120	55	69
PLCD4	50	51	46	253	123	67
PLCE1	1366	1249	1195	1650	921	1402
PLCG1	265	296	162	372	265	302
PLCG1-AS1	54	47	31	34	13	28
PLCH1	3175	2987	2946	1854	1396	2410
PLCL1	584	446	411	349	166	275
PLCL2	280	256	192	317	205	201
PLD1	154	146	175	125	68	69
PLD3	335	376	302	396	259	300
PLD5	55	106	80	42	30	50
PLEKHA1	968	973	785	1299	607	977
PLEKHA2	224	165	182	335	154	230
PLEKHA3	250	276	185	254	146	241
PLEKHA4	85	41	35	53	31	36
PLEKHA5	2170	1872	1593	2647	991	1662
PLEKHA6	603	539	486	447	270	350
PLEKHA7	52	55	39	63	39	34
PLEKHA8	917	888	868	1212	707	989
PLEKHA8P1	14	34	20	37	30	48
PLEKHB2	3393	3137	2200	3625	2262	2781
PLEKHF2	444	348	420	415	207	335
PLEKHG1	542	495	462	1015	500	689
PLEKHG2	79	66	68	132	72	51
PLEKHH1	76	63	43	63	51	68
PLEKHH2	1392	1361	1175	1684	805	1608
PLEKHM3	324	296	231	241	136	231
PLEKHO1	31	22	22	51	37	36
PLGRKT	1154	836	916	1178	755	888
PLIN2	1221	1021	1061	1369	897	1378
PLIN3	158	167	103	493	256	214
PLK2	507	443	347	1033	499	520
PLK4	515	323	455	554	348	657
PLN	61	80	29	88	10	38
PLOD1	324	302	209	344	189	254
PLOD2	2177	2138	1826	2748	1175	2251
PLP1	328	206	226	523	303	261
PLP2	193	300	207	404	286	301
PLRG1	3234	2884	3004	4846	2702	3517
PLS1	8937	8748	8508	20826	9666	15808
PLS3	27308	26397	23797	65528	30601	34896
PLS3-AS1	51	54	34	82	33	45
PLSCR1	241	123	155	305	166	152
PLSCR4	91	78	95	109	35	106
PLTP	865	959	539	775	503	594
PLXDC1	371	379	253	456	270	454
PLXDC2	2917	3050	3100	3636	1581	2793
PLXNA2	57	75	39	98	117	65
PLXNA3	46	40	23	94	40	34
PLXNA4	35	58	63	246	158	102
PLXNB1	102	135	87	165	107	140
PLXNB2	73	79	52	122	70	86
PLXNC1	674	378	388	793	433	642
PM20D2	1797	1582	1713	1775	1020	1311
PMAIP1	128	71	72	454	152	250
PMCH	76942	96217	60594	197859	86104	133580
PMEL	100	107	86	85	54	57
PMEPA1	31	19	13	213	102	81
PML	27	44	46	73	43	47
PMM1	106	134	72	144	96	124
PMM2	84	91	80	167	82	93
PMP2	85	27	26	196	33	34
PMP22	717	847	758	1311	667	906
PMPCA	98	110	89	129	76	120
PMPCB	4453	4126	3814	4871	2738	3622
PMS1	2577	2217	2071	3494	1579	2860
PMS2	200	199	161	240	153	168
PMS2CL	30	30	13	58	20	29
PMS2P1	250	335	276	366	256	299
PMS2P4	90	115	83	101	55	91
PNISR	11545	10826	10017	10787	4982	9007
PNKD	546	614	449	494	342	421
PNMA1	288	264	222	386	286	285
PNMA2	1140	1320	988	1493	901	1236
PNMAL1	872	773	643	913	543	687
PNN	7222	7237	6401	7681	3944	5981
PNO1	166	135	153	360	171	225
PNP	555	613	577	1201	813	858
PNPLA4	544	527	488	595	391	474
PNPLA8	6255	5056	5098	7075	3369	5579
PNPO	62	60	44	110	97	52
PNPT1	3578	2905	2761	5458	3133	4535
PNRC1	368	412	363	356	266	383
PNRC2	5581	4590	5008	6891	3793	4797
POC1B	463	576	449	698	367	515
POC5	848	757	929	1028	624	778
PODXL	1141	1081	971	2128	1172	1217
POFUT1	446	428	331	592	353	540
POFUT2	162	151	85	177	67	129
POGK	899	730	773	1156	731	976
POGLUT1	2522	2214	2338	3102	1760	2273
POGZ	2521	2673	2331	2777	1657	2355
POLA1	611	569	539	960	419	755
POLB	545	510	536	1000	643	718
POLD2	194	247	144	277	155	181
POLD3	1268	1282	1191	1796	1077	1400
POLDIP2	402	376	290	585	335	299
POLDIP3	399	522	408	720	460	520
POLE2	148	139	120	199	93	169
POLE3	921	995	746	1054	684	891
POLE4	61	50	50	119	50	73
POLG	70	83	45	116	60	72
POLG2	136	115	107	206	108	162
POLH	1021	1213	1102	1318	799	1212
POLI	1725	1476	1440	1961	813	1467
POLK	3185	3072	2366	4409	1471	3058
POLL	39	52	38	48	37	41
POLM	37	41	36	33	27	46
POLQ	105	111	93	218	86	117
POLR1A	44	63	50	50	38	63
POLR1B	1265	983	903	1719	987	1468
POLR1C	2302	2088	2083	3180	2026	2475
POLR1D	1017	1156	1037	1177	634	1074
POLR1E	127	181	96	237	112	154
POLR2A	288	338	275	355	222	308
POLR2B	6591	6156	5864	10345	5868	7567
POLR2C	806	893	780	989	732	871
POLR2D	608	728	620	1016	654	816
POLR2E	55	46	16	43	25	45
POLR2F	313	330	187	585	335	364
POLR2G	2363	2693	2402	3736	2691	2846
POLR2H	646	800	638	1007	660	875
POLR2I	801	838	514	888	669	841
POLR2J	84	65	36	155	42	79
POLR2J4	38	70	41	57	31	37
POLR2K	2781	2490	2412	4302	2445	2890
POLR2L	254	261	141	240	201	222
POLR3A	1289	1507	1052	2014	1127	1360
POLR3B	691	515	711	842	630	761
POLR3C	774	560	535	1007	613	833
POLR3D	63	82	58	95	50	63
POLR3E	479	413	413	459	256	322
POLR3F	750	573	611	1060	653	822
POLR3G	448	348	411	589	198	447
POLR3GL	179	189	170	274	139	188
POLR3K	617	548	431	804	510	529
POM121	86	77	64	108	81	83
POM121C	141	163	122	217	110	145
POMGNT1	100	103	68	167	69	120
POMGNT2	121	105	71	75	64	85
POMK	46	67	65	95	38	53
POMP	7844	7353	6827	12995	7538	8617
POMT1	56	45	41	49	18	49
POMT2	88	82	83	123	65	86
PON2	2260	1833	1783	2804	1528	2070
POP1	165	156	121	262	156	180
POP4	157	155	89	204	153	197
POP5	647	519	456	968	614	686
POPDC2	44	57	28	50	22	33
POPDC3	123	156	96	92	39	94
POR	55	46	32	53	31	34
POSTN	11	0	8	40	7	45
POT1	2243	2339	2074	2590	1183	2237
POT1-AS1	260	229	217	199	92	185
POU2F1	734	610	493	879	461	641
POU2F2	22	16	13	68	27	13
POU3F3	119	92	82	112	83	94
POU6F1	131	92	93	139	60	67
PP2D1	46	67	45	71	34	49
PP7080	57	55	34	44	38	47
PPA1	1450	1489	1166	2896	1694	2038
PPA2	1246	1237	1095	1727	998	1311
PPAP2A	95	72	92	102	55	80
PPAP2B	1778	1380	1355	1341	679	981
PPAPDC1A	94	87	81	257	140	76
PPAPDC1B	882	1025	803	1674	834	1206
PPAPDC2	118	148	89	128	102	71
PPARA	641	673	559	431	265	379
PPARGC1A	2507	2094	2069	1001	624	1086
PPARGC1B	152	149	126	130	111	144
PPAT	3014	2934	2658	3613	1923	3138
PPCDC	93	52	58	118	53	73
PPCS	1503	1416	1337	1823	1010	1190
PPDPF	34	33	28	41	36	38
PPFIA1	770	806	503	1222	638	769
PPFIA2	194	211	171	472	237	179
PPFIA4	115	153	110	89	47	80
PPFIBP1	666	679	548	1194	656	939
PPFIBP2	749	777	707	767	571	674
PPHLN1	2095	2023	1860	3476	1881	2584
PPIA	5151	5744	4891	8252	5218	5956
PPIB	1407	1502	1099	2307	1493	1730
PPIC	232	208	97	287	162	187
PPID	2669	2479	2397	3400	2096	2635
PPIE	1605	1638	1425	2394	1328	1553
PPIF	313	262	265	240	177	201
PPIG	4397	3950	3327	5427	2532	3880
PPIH	229	259	293	339	236	257
PPIL1	997	860	985	1710	1105	1327
PPIL2	54	31	36	62	43	36
PPIL3	1424	1591	1439	1865	934	1457
PPIL4	3455	3055	3018	5733	2885	3901
PPIL6	295	352	275	229	138	255
PPIP5K1	238	246	216	197	183	181
PPIP5K2	7775	6733	6355	9038	3639	6472
PPL	31	26	40	51	30	43
PPM1A	2845	2500	2539	3318	1442	2205
PPM1B	2915	2400	2339	3010	1700	2652
PPM1D	213	198	180	318	181	207
PPM1E	460	290	388	407	325	389
PPM1G	363	303	269	522	353	362
PPM1H	2385	2066	1893	2147	1221	1636
PPM1K	1391	1637	1282	1302	915	1083
PPM1L	67	46	50	17	25	54
PPM1M	48	54	33	38	25	34
PPME1	889	869	477	2140	1322	1523
PPOX	116	111	107	94	76	87
PPP1CA	111	85	69	184	87	113
PPP1CB	35736	31847	29628	56623	25002	34028
PPP1CC	1302	1283	1249	1198	549	847
PPP1R12A	4537	3729	3319	7893	3424	5055
PPP1R12B	941	862	709	1184	670	1008
PPP1R14C	119	94	88	268	174	88
